Band Material,Band Notes,Bezel,COSC Certified,Case Back,Case Dimensions,Case Material,Case Shape,Case Thickness,Clasp,Color/Finish,Complications,Condition,Crystal,Dial Color,Edition,Lug Width,Movement,Screw-in Crown,Water Resistance,url
,,Uni-Directional Rotating,,,41mm ,Stainless Steel,Round,10.2mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Quartz-41mm/L3.689.4.53.6.html
,,Fixed,,,39mm ,Stainless Steel & Plated Yellow Gold,Round,7.89mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-stp-00300.html
,,Uni-Directional Rotating,,,39mm ,Stainless Steel,Round,10.2mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Quartz-39mm/L3.640.4.56.6.html
,,Uni-Directional Rotating,,,41mm ,Stainless Steel,Round,10.2mm,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Quartz-41mm/L3.740.4.96.6.html
,,Fixed,,,40mm ,Stainless Steel,Round,8.2mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,Yes,100m/330ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Date-Mens/mi1018-ss002-131.html
,,Fixed,,,40mm ,Stainless Steel & Plated Yellow Gold,Round,8.2mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,Yes,100m/330ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Date-Mens/mi1018-pvp13-130.html
,,Fixed,,,32mm X 47mm ,Stainless Steel,Rectangle,7.85mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tradition/5597-st-00300.html
,,Fixed,,,39mm ,Gold Plated,Round,7.89mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-p-00300.html
,,Uni-Directional Rotating,,,39mm ,Stainless Steel,Round,10.2mm,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Quartz-39mm/L3.640.4.96.6.html
,,Uni-Directional Rotating,,,41mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Tag-Heuer/Formula-1-Quartz-41mm/waz1110.ft8023.html
,,Uni-Directional Rotating,,,41mm ,Stainless Steel,Round,10.2mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-HydroConquest-Quartz-41mm-L3-740-4-56-6.html
