Band Material,Band Notes,Bezel,COSC Certified,Case Back,Case Dimensions,Case Material,Case Shape,Case Thickness,Clasp,Color/Finish,Complications,Condition,Crystal,Dial Color,Edition,Lug Width,Movement,Screw-in Crown,Water Resistance,url
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,11.25mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Blue,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Breitling/Colt-Quartz-44mm/a7438811%7Ec907-2lt.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,11.25mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Blue,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Breitling/Colt-Quartz-44mm/a7438811%7Ec907-3lt.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,11.25mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Breitling/Colt-Quartz-44mm/a7438811%7Eg792-1lt.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,11.25mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Breitling/Colt-Quartz-44mm/a7438811%7Eg792-2lt.html
,,Fixed,,,41mm ,Stainless Steel,Round,14.00mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,No,50m/150ft,https://www.prestigetime.com/item/Longines/Conquest-Classic-Automatic-Chronograph-41mm/L2.786.4.56.6.html
,,Fixed,,,39mm ,Stainless Steel,Round,13.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Flagship-Automatic-Chronograph/L4.803.4.57.6.html
,,None,,,30.5mm X 30.5mm ,Stainless Steel,Square,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/item/Hermes/H-Hour-Quartz-Large-TGM/036833WW00.html
,,None,,,30.5mm X 30.5mm ,Stainless Steel,Square,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/item/Hermes/H-Hour-Quartz-Large-TGM/036832WW00.html
,,None,,,30.5mm X 30.5mm ,Stainless Steel,Square,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/item/Hermes/H-Hour-Quartz-Large-TGM/036831WW00.html
,,None,,,30.5mm X 30.5mm ,Stainless Steel,Square,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/item/Hermes/H-Hour-Quartz-Large-TGM/036834WW00.html
,,None,,,30.5mm X 30.5mm ,Stainless Steel,Square,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/item/Hermes/H-Hour-Quartz-Large-TGM/036835WW00.html
,,None,,,30.5mm X 30.5mm ,Stainless Steel,Square,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/item/Hermes/H-Hour-Quartz-Large-TGM/036836WW00.html
,,None,,,30.5mm X 30.5mm ,Stainless Steel,Square,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/item/Hermes/H-Hour-Quartz-Large-TGM/041166WW00.html
,,Fixed,,,42mm ,Stainless Steel,Round,13.7mm,,,,New/Unworn,Scratch Resistant Sapphire,Ivory,,,,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Freelancer/7730-stc-65025.html
,,Fixed,,,43mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,,100m/330ft,https://www.prestigetime.com/item/Bell-Ross/BR-123-Vintage/BRV_123_Sport_Heritage.html
,,Fixed,,,40.5mm ,Stainless Steel,Round,10.70mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,No,50m,https://www.prestigetime.com/item/Oris/Artelier-Skeleton-Diamonds/01_734_7670_4019-07_5_21_71FC.html
,,Fixed,,,40mm ,Carbon Fiber,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,Special Edition,,,,30m/100ft,https://www.prestigetime.com/item/Bulgari/BVLGARI-BVLGARI-CarbonGold-Automatic-40mm/bbp40bcgld.html
,,Fixed,,,42mm ,Stainless Steel & Plated Rose Gold,Round,12.10mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,100m,https://www.prestigetime.com/item/Oris/Artix-Pointer-Moon-Date/01_761_7691_6331-07_8_21_80.html
,,Fixed,,,43mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,Special Edition,,,No,100m/330ft.,https://www.prestigetime.com/Tag-Heuer-Carrera-Panamericana-cv1a10-ba0799.html
,,,,,42mm X 42mm ,Stainless Steel,Square,9.80mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,100m/330ft,https://www.prestigetime.com/item/Bell-Ross/BR03-92-Automatic-42mm/BR03-92_Steel.html
,,,,,42mm X 42mm ,Stainless Steel,Square,9.80mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,100m/330ft,https://www.prestigetime.com/Bell-Ross-BR03-92-Automatic-42mm-BR0392-HOR-BLC-SRB.html
,,,,,44mm ,Stainless Steel,Round,14.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-Chronograph-44mm/L2.693.4.51.6.html
,,,,,44mm ,Stainless Steel,Round,14.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-Chronograph-44mm/L2.693.4.78.6.html
,,,,,44mm ,Stainless Steel,Round,14.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-Chronograph-44mm/L2.693.4.51.5.html
,,,,,42mm ,Stainless Steel,Round,14.30mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m/99ft,https://www.prestigetime.com/item/Longines/Master-Automatic-Chronograph-42mm/L2.759.4.78.3.html
,,Fixed,,,44mm ,Stainless Steel,Round,14.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-Chronograph-44mm/L2.693.4.51.7.html
,,Uni-Directional Rotating,,,41mm ,Titanium,Round,12mm,,,,New/Unworn,Scratch Resistant Sapphire,Grey,Limited Edition,,,Yes,300m,https://www.prestigetime.com/Tag-Heuer-Aquaracer-Automatic-way218b-fc6364.html
,,Fixed,,,41mm ,Stainless Steel,Round,9.7mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m/100ft,https://www.prestigetime.com/Montblanc-Heritage-Spirit-Date-Automatic-111581.html
,,Fixed,,,39mm ,Stainless Steel,Round,11.20mm,,,,New/Unworn,Scratch Resistant Sapphire,Skeleton,,,,No,100m,https://www.prestigetime.com/Oris-Artix-Skeleton-01-734-7714-4054-07-8-19-80.html
,,Fixed,,,42mm ,Stainless Steel,Round,9.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m,https://www.prestigetime.com/item/Baume-Mercier/Classima-Automatic-42mm/8688.html
,,Fixed,,,39mm ,Stainless Steel & Gold,Round,9.6mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Parsifal/2970-sg-00308.html
,,Fixed,,,39mm ,Stainless Steel & Gold,Round,9.6mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Parsifal/2970-sg5-00208.html
,,Fixed,,,42mm ,Stainless Steel,Round,13.7mm,,,,New/Unworn,Scratch Resistant Sapphire,Ivory,,,,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Freelancer/7730-st-65025.html
,,Fixed,,,40.5mm ,Stainless Steel & Gold,Round,10.70mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,No,50m,https://www.prestigetime.com/item/Oris/Artelier-Date-40mm/01_733_7670_6351-07_8_21_77.html
,,Uni-Directional Rotating,,,43mm ,Stainless Steel,Round,15mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,300m,https://www.prestigetime.com/Tag-Heuer-Aquaracer-Automatic-Chronograph-cay2110-ba0927.html
,,Uni-Directional Rotating,,,43mm ,Stainless Steel,Round,15mm,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,,Yes,300m,https://www.prestigetime.com/Tag-Heuer-Aquaracer-Automatic-Chronograph-cay2112-ba0927.html
,,,,,44mm ,Stainless Steel,Round,10.95mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,No,30m/100ft,https://www.prestigetime.com/Montblanc-1858-Collection-112638.html
,,Fixed,,,38.5mm ,Stainless Steel & Yellow Gold,Round,9.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-38-5mm/L2.628.5.78.7.html
,,,,,38.5mm ,Stainless Steel,Round,7.75mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/Nomos-Glashutte-Metro-38-1108-Sapphire-Crystal-Back.html
,,,,,38.5mm ,Stainless Steel,Round,7.75mm,,,,New/Unworn,Scratch Resistant Sapphire,Ruthenium,,,,No,30m/100ft,https://www.prestigetime.com/Nomos-Glashutte-Metro-38-1111-Stadtschwarz-Sapphire-Crystal-Back.html
,,Fixed,,,41mm ,Stainless Steel,Round,14.4mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Heritage-Chronograph/L2.750.4.56.0.html
,,Fixed,,,27mm X 34.8mm ,Stainless Steel,Rectangle,5.55mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m/100ft,https://www.prestigetime.com/Cartier-Tank-Solo-Quartz-wsta0028.html
,,Fixed,,,39mm ,Stainless Steel,Round,14mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Heritage-Chronograph/L2.733.4.72.2.html
,,Fixed,,,41mm ,Stainless Steel,Round,11.8mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Parsifal/7260-stc-00208.html
,,Fixed,,,40mm ,Stainless Steel & Rose Gold,Round,10.8mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,No,50m,https://www.prestigetime.com/item/Longines/Conquest-Classic-Automatic-40mm/L2.785.5.56.3.html
,,Fixed,,,41mm ,Stainless Steel,Round,14.00mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,No,50m/150ft,https://www.prestigetime.com/item/Longines/Conquest-Classic-Automatic-Chronograph-41mm/L2.786.4.56.3.html
,,Fixed,,,41mm ,Stainless Steel,Round,14.00mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,No,50m/150ft,https://www.prestigetime.com/item/Longines/Conquest-Classic-Automatic-Chronograph-41mm/L2.786.4.76.3.html
,,Fixed,,,40mm ,Stainless Steel & Yellow Gold,Round,,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,No,50m/160ft,https://www.prestigetime.com/item/Ebel/Ebel-Sport-Quartz-40mm/1216186.html
,,Fixed,,,44mm ,Stainless Steel,Round,14.90mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,Yes,100m,https://www.prestigetime.com/Oris-Williams-F1-Team-Chronograph-Date-44mm-01-774-7717-4154-07-8-24-50.html
,,,,,41mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,,100m/330ft,https://www.prestigetime.com/item/Bell-Ross/BR-123-Vintage/BRV_123_Original_Black_Bracelet.html
,,,,,41mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Ivory,,,,,100m/330ft,https://www.prestigetime.com/item/Bell-Ross/BR-123-Vintage/BRV_123_Original_Beige_Bracelet.html
,,Bi-Directional Rotating,,,44mm ,Stainless Steel,Round,15mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Heritage-Classic/L2.778.4.53.0.html
,,,,,40mm ,Stainless Steel,Round,9.73mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,100m/330ft,https://www.prestigetime.com/Nomos-Glashutte-Club-Automat-40mm-753-Sapphire-Crystal-Back.html
,,Fixed,,,42mm ,Stainless Steel,Round,9.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m,https://www.prestigetime.com/item/Baume-Mercier/Classima-Automatic-42mm/8833.html
,,Fixed,,,38.5mm ,Stainless Steel & Gold,Round,9.5mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-38-5mm/L2.628.5.11.7.html
,,Fixed,,,38.5mm ,Stainless Steel & Yellow Gold,Round,9.5mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-38-5mm/L2.628.5.12.7.html
,,,,,42mm ,Stainless Steel,Round,14.30mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m/99ft,https://www.prestigetime.com/item/Longines/Master-Automatic-Chronograph-42mm/L2.759.4.78.6.html
,,Fixed,,,45mm ,Titanium,Round,13.7mm,,,,New/Unworn,Scratch Resistant Sapphire,Grey,,,,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Freelancer/7745-tic-05659.html
,,Fixed,,,36mm ,Stainless Steel & Yellow Gold,Round,9.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-36mm/L2.518.5.77.7.html
,,Fixed,,,38.5mm ,Stainless Steel & Rose Gold,Round,9.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-38-5mm/L2.628.5.79.7.html
,,Fixed,,,44mm ,Stainless Steel,Round,14.90mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,Yes,100m,https://www.prestigetime.com/Oris-Williams-F1-Team-Chronograph-Date-44mm-01-774-7717-4164-07-8-24-50.html
,,Fixed,,,36mm ,Stainless Steel & Yellow Gold,Round,9.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-36mm/L2.518.5.57.7.html
,,,,,37mm ,Stainless Steel & Plated Rose Gold,Round,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/item/Longines/Elegant-Automatic-37mm/L4.810.5.12.7.html
,,,,,39mm ,Stainless Steel,Round,9.95mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m/100ft,https://www.prestigetime.com/Montblanc-Star-Date-Automatic-39mm-107114.html
,,,,,39mm ,Stainless Steel,Round,9.95mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,No,30m/100ft,https://www.prestigetime.com/Montblanc-Star-Date-Automatic-39mm-107316.html
,,Fixed,,,40mm ,Stainless Steel,Round,14mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,30m/100ft.,https://www.prestigetime.com/item/Longines/Master-Complications/L2.673.4.51.6.html
,,Fixed,,,38.5mm ,Stainless Steel & Rose Gold,Round,10.6mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/The-Saint-Imier-38mm/L2.763.5.52.7.html
,,Fixed,,,40mm ,Stainless Steel,Round,,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,No,50m/165ft.,https://www.prestigetime.com/item/Maurice-Lacroix/Masterpiece-Reserve-de-Marche/mp6807-ss001-110.html
,,Fixed,,,40mm ,Stainless Steel,Round,,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,No,50m/165ft.,https://www.prestigetime.com/item/Maurice-Lacroix/Masterpiece-Reserve-de-Marche/mp6807-ss001-111.html
,,Fixed,,,40mm ,Stainless Steel,Round,,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,White,,,,No,50m/165ft.,https://www.prestigetime.com/item/Maurice-Lacroix/Masterpiece-Reserve-de-Marche/mp6807-ss001-112.html
,,Fixed,,,40mm ,Stainless Steel,Round,,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,No,50m/165ft.,https://www.prestigetime.com/item/Maurice-Lacroix/Masterpiece-Reserve-de-Marche/mp6807-ss001-310.html
,,Fixed,,,41mm ,Stainless Steel,Round,14.75mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Heritage-Chronograph/L2.781.4.13.2.html
,,Fixed,,,41mm ,Stainless Steel,Round,,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Heritage-Chronograph/L2.800.4.53.0.html
,,Uni-Directional Rotating,,,42mm ,Stainless Steel,Round,,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Heritage-Diver-L2-808-4-52-6.html
,,Uni-Directional Rotating,,,43mm ,Stainless Steel,Round,15mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,300m,https://www.prestigetime.com/item/Tag-Heuer/Aquaracer-Automatic-Chronograph/cay211a.ba0927.html
,,Fixed,,,42mm ,Black PVD,Round,13.7mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Freelancer/7730-BK-05207.html
,,Fixed,,,40.5mm ,Stainless Steel,Round,10.70mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,No,50m,https://www.prestigetime.com/item/Oris/Artelier-Skeleton-Diamonds/01_734_7670_4019-07_8_21_77.html
,,Fixed,,,44mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/Big-Crown-ProPilot-Chronograph-44mm/01_774_7699_4134-07_5_22_15FC.html
,,Fixed,,,44mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/Big-Crown-ProPilot-Chronograph-44mm/01_774_7699_4134-07_5_22_19FC.html
,,Fixed,,,44mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/Big-Crown-ProPilot-Chronograph-44mm/01_774_7699_4134-07_5_22_17FC.html
,,Fixed,,,42mm ,Stainless Steel,Round,13mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,100m,https://www.prestigetime.com/item/Oris/Artix-Complication/01_915_7643_4031-07_5_21_80FC.html
,,Fixed,,,42mm ,Stainless Steel,Round,13mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,100m,https://www.prestigetime.com/item/Oris/Artix-Complication/01_915_7643_4034-07_5_21_81FC.html
,,Uni-Directional Rotating,,,43mm ,Sapphire Crystal,Round,12mm,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,,Yes,300m,https://www.prestigetime.com/Tag-Heuer-Aquaracer-Automatic-43mm-way208d-fc8221.html
,,,,,38.3mm ,Stainless Steel,Round,8.2mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/Nomos-Glashutte-Tangomat-641-Stainless-Steel-Back.html
,,,,,38mm ,Stainless Steel,Round,8.86mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/Nomos-Glashutte-Orion-38-Datum-38mm-380.html
,,,,,41mm ,Black PVD,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,,100m/330ft,https://www.prestigetime.com/item/Bell-Ross/BR-123-Vintage/BRV_123_Heritage.html
,,,,,41mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,,100m/330ft,https://www.prestigetime.com/item/Bell-Ross/BR-123-Vintage/BRV_123_Original_Black_Carbon.html
,,,,,41mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Grey,,,,,100m/330ft,https://www.prestigetime.com/item/Bell-Ross/BR-123-Vintage/BRV_123_Commando.html
,,,,,41mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,,100m/330ft,https://www.prestigetime.com/item/Bell-Ross/BR-123-Vintage/BRV_123_Phantom.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,11.25mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Breitling/Colt-Quartz-44mm/a7438811%7Ebd45-1pro3d.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,11.25mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Blue,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Breitling/Colt-Quartz-44mm/a7438811%7Ec907-3or.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,11.25mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Breitling/Colt-Quartz-44mm/a7438811%7Eg792-1pro3d.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,11.25mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Breitling/Colt-Quartz-44mm/a7438811%7Eg792-1or.html
,,Fixed,,,40mm ,Stainless Steel,Square,,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Heritage-Chronograph/L2.791.4.72.0.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,11.25mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Blue,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Breitling/Colt-Quartz-44mm/a7438811%7Ec907-153s.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,11.25mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Blue,,,,Yes,200m/660ft,https://www.prestigetime.com/Breitling-Colt-Quartz-44mm-a7438811-c907-157s.html
,,None,,,30.5mm X 30.5mm ,Gold Plated,Square,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/item/Hermes/H-Hour-Quartz-Large-TGM/036844WW00.html
,,None,,,30.5mm X 30.5mm ,Gold Plated,Square,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/item/Hermes/H-Hour-Quartz-Large-TGM/036843WW00.html
,,None,,,30.5mm X 30.5mm ,Gold Plated,Square,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/item/Hermes/H-Hour-Quartz-Large-TGM/036842WW00.html
,,None,,,30.5mm X 30.5mm ,Gold Plated,Square,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/item/Hermes/H-Hour-Quartz-Large-TGM/036846WW00.html
,,,,,30mm X 32.5mm ,Stainless Steel,Tonneau,5.3mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Tonneau-Large/L4.788.0.11.6.html
,,None,,,30.5mm X 30.5mm ,Gold Plated,Square,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/item/Hermes/H-Hour-Quartz-Large-TGM/036845WW00.html
,,,,,34.5mm ,Stainless Steel & Rose Gold,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Mother of Pearl,,,,No,30m/100ft,https://www.prestigetime.com/item/Longines/Elegant-Automatic-34-5mm/L4.809.5.87.7.html
,,,,,34.5mm ,Stainless Steel & Rose Gold,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,30m/100ft,https://www.prestigetime.com/item/Longines/Elegant-Automatic-34-5mm/L4.809.5.57.7.html
,,,,,43mm ,Stainless Steel,Round,11.3mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/150ft,https://www.prestigetime.com/item/Baume-Mercier/Clifton-Automatic-Dual-Time-43mm/10112.html
,,,,,43mm ,Stainless Steel,Round,11.3mm,,,,New/Unworn,Scratch Resistant Sapphire,Grey,,,,No,50m/150ft,https://www.prestigetime.com/item/Baume-Mercier/Clifton-Automatic-Dual-Time-43mm/10111.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,11.25mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Breitling/Colt-Quartz-44mm/a7438811%7Ebd45-1ld.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,11.25mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Breitling/Colt-Quartz-44mm/a7438811%7Ebd45-2ld.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,11.25mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Breitling/Colt-Quartz-44mm/a7438811%7Eg792-1ld.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,11.25mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Breitling/Colt-Quartz-44mm/a7438811%7Eg792-2ld.html
,,Fixed,,,45mm ,Titanium,Round,13.7mm,,,,New/Unworn,Scratch Resistant Sapphire,Grey,,,,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Freelancer/7745-ti-05609.html
,,Fixed,,,45mm ,Titanium,Round,13.7mm,,,,New/Unworn,Scratch Resistant Sapphire,Grey,,,,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Freelancer/7745-ti-05659.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,14.90mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,Yes,100m,https://www.prestigetime.com/item/Oris/Artix-GT-Chronograph-44mm/01_674_7661_4434-07_4_22_20FC.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,14.90mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,Yes,100m,https://www.prestigetime.com/item/Oris/Artix-GT-Chronograph-44mm/01_674_7661_4434-07_5_22_82FC.html
