Band Material,Band Name,Band Notes,Bezel,COSC Certified,Case Back,Case Dimensions,Case Material,Case Shape,Case Thickness,Clasp,Clasp Features,Clasp Notes,Color/Finish,Complications,Condition,Crystal,Dial Color,Edition,Lug Width,Movement,Screw-in Crown,Water Resistance,url
Stainless Steel & Plated Yellow Gold,,,Fixed,,Solid,40mm ,Stainless Steel & Plated Yellow Gold,Round,8.2mm,Push Button Folding Clasp,,,Brushed,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,Yes,100m/330ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Date-Mens/mi1018-pvp13-130.html
Stainless Steel,,,Fixed,,Solid,32mm X 47mm ,Stainless Steel,Rectangle,7.85mm,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tradition/5597-st-00300.html
Yellow Gold Plated Steel,,,Fixed,,Solid,39mm ,Gold Plated,Round,7.89mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-p-00300.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,39mm ,Stainless Steel,Round,10.2mm,Folding Clasp With Safety Latch,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Blue,,,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Quartz-39mm/L3.640.4.96.6.html
Rubber,,,Uni-Directional Rotating,,Solid,41mm ,Stainless Steel,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,200m/660ft,https://www.prestigetime.com/item/Tag-Heuer/Formula-1-Quartz-41mm/waz1110.ft8023.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,41mm ,Stainless Steel,Round,10.2mm,Folding Clasp With Safety Latch,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/Longines-HydroConquest-Quartz-41mm-L3-740-4-56-6.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,44mm ,Stainless Steel,Round,,Folding Clasp With Safety Latch,,,Brushed & Polished,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,22mm,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/Longines-HydroConquest-Quartz-44mm-L3-840-4-56-6.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,44mm ,Stainless Steel,Round,,Folding Clasp With Safety Latch,,,Brushed & Polished,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Blue,,22mm,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/Longines-HydroConquest-Quartz-44mm-L3-840-4-96-6.html
Alligator/Crocodile Leather,,,,,Solid,33mm ,Stainless Steel,Round,5mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.4.11.2.html
Stainless Steel,,,,,Solid,33mm ,Stainless Steel,Round,5mm,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.4.72.6.html
Fabric,,,Uni-Directional Rotating,,Solid,43mm ,Stainless Steel,Round,,,,,Blue,,New/Unworn,Scratch Resistant Sapphire,Blue,,,Quartz,Yes,200m/660ft,https://www.prestigetime.com/Tag-Heuer-Formula-1-Quartz-43mm-waz1010-fc8197.html
Stainless Steel,,,Fixed,,Solid,39mm ,Stainless Steel,Round,7.9mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5591-st-00300.html
Stainless Steel,,,Fixed,,Solid,39mm ,Stainless Steel,Round,7.9mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Grey,,,Quartz,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5591-st-00607.html
Stainless Steel,,,Fixed,,Solid,39mm ,Stainless Steel,Round,7.9mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5591-st-20001.html
Stainless Steel,,,Fixed,,Solid,39mm ,Stainless Steel,Round,7.9mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Blue,,,Quartz,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5591-st-50001.html
Stainless Steel,,,Fixed,,Solid,26.3mm X 32.1mm ,Stainless Steel,Rectangle,,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,30m/100ft.,https://www.prestigetime.com/item/Longines/DolceVita-Quartz-Mens/L5.655.4.73.6.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,41mm ,Stainless Steel,Round,10.2mm,Folding Clasp With Safety Latch,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Blue,,,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Quartz-41mm/L3.689.4.03.6.html
Stainless Steel,,,,,Solid,36mm ,Stainless Steel,Round,,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,20mm,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-36mm/L4.755.4.11.6.html
Stainless Steel,,,Fixed,,Solid,40mm ,Stainless Steel,Round,5.95mm,Tang Buckle,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/100ft,https://www.prestigetime.com/Baume-Mercier-Classima-Quartz-40mm-10354.html
Calfskin Leather,,Alligator/Crocodile Print,Fixed,,Transparent,39.5mm ,Stainless Steel,Round,9.2mm,Push Button Deployant Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Maestro/2237-stc-20001.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,42mm ,Stainless Steel,Round,,Tang Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-42mm/01_733_7594_4031-07_5_20_12.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,42mm ,Stainless Steel,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-42mm/01_733_7594_4034-07_5_20_11.html
Stainless Steel,,,,,Solid,33mm ,Stainless Steel,Round,5mm,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.4.11.6.html
Stainless Steel,,,,,Solid,33mm ,Stainless Steel,Round,5mm,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.4.71.6.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,37mm ,Stainless Steel,Round,,Tang Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4031-07_5_18_10.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,37mm ,Stainless Steel,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4034-07_5_18_11.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,41mm ,Stainless Steel,Round,,Folding Clasp With Safety Latch,,,Brushed,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,Yes,200m/660ft,https://www.prestigetime.com/item/Tag-Heuer/Formula-1-Quartz-41mm/waz1111.ba0875.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,39mm ,Stainless Steel,Round,11.85mm,Folding Clasp With Safety Latch,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Automatic-39mm/L3.641.4.56.6.html
Alligator/Crocodile Leather,,,,,Solid,33mm ,PVD,Round,5mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.1.91.2.html
Stainless Steel,,,Fixed,,Solid,39mm ,Stainless Steel,Round,11.5mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/Conquest-Automatic-39mm/L3.676.4.76.6.html
Stainless Steel & PVD,,,Fixed,,Solid,40mm ,Stainless Steel,Round,8.2mm,Push Button Folding Clasp,,,Brushed,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,100m/330ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Date-Mens/mi1018-ss002-331.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,41mm ,Stainless Steel,Round,,Folding Clasp With Safety Latch,,,Brushed,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,200m/660ft,https://www.prestigetime.com/item/Tag-Heuer/Formula-1-Quartz-41mm/waz1110.ba0875.html
Stainless Steel,,,Fixed,,Solid,39mm ,Stainless Steel,Round,11.5mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Blue,,,Automatic,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/Conquest-Automatic-39mm/L3.676.4.99.6.html
Calfskin Leather,,,Fixed,,Transparent,42mm ,Stainless Steel,Round,11.10mm,Tang Buckle,,,Brown,Day/Date,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,22mm,Automatic,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/BC3-Advanced-Day-Date-42mm/01_735_7641_4164-07_5_22_55.html
Rubber,,,Fixed,,Transparent,42mm ,Stainless Steel,Round,11.10mm,Tang Buckle,,,Black,Day/Date,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,22mm,Automatic,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/BC3-Advanced-Day-Date-42mm/01_735_7641_4164-07_4_22_05.html
Calfskin Leather,,,Fixed,,Transparent,40mm ,Stainless Steel,Round,11.20mm,Tang Buckle,,,Black,,New/Unworn,Plexiglass,Silver,,20mm,Automatic,No,50m,https://www.prestigetime.com/item/Oris/Big-Crown-Original-Pointer-Date-40mm/01_754_7696_4061-07_5_20_53.html
Calfskin Leather,,,Fixed,,Transparent,40mm ,Stainless Steel & Plated Rose Gold,Round,11.20mm,Tang Buckle,,,Brown,,New/Unworn,Plexiglass,Silver,,20mm,Automatic,No,50m,https://www.prestigetime.com/item/Oris/Big-Crown-Original-Pointer-Date-40mm/01_754_7696_4361-07_5_20_52.html
Calfskin Leather,,,Fixed,,Transparent,40mm ,Stainless Steel,Round,11.20mm,Tang Buckle,,,Black,,New/Unworn,Plexiglass,Black,,20mm,Automatic,No,50m,https://www.prestigetime.com/item/Oris/Big-Crown-Original-Pointer-Date-40mm/01_754_7696_4064-07_5_20_51.html
Fabric,,,Fixed,,Transparent,42mm ,Stainless Steel,Round,11.10mm,Tang Buckle,,,Blue,Day/Date,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Blue,,22mm,Automatic,Yes,100m/330ft,https://www.prestigetime.com/Oris-BC3-Advanced-Day-Date-01-735-7641-4165-07-5-22-26.html
Alligator/Crocodile Leather,,,,,Solid,33mm ,PVD,Round,5mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.2.11.2.html
Alligator/Crocodile Leather,,,Fixed,,Solid,42mm ,Stainless Steel,Round,11.6mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tradition/9577-stc-00650.html
Alligator/Crocodile Leather,,,Fixed,,Solid,42mm ,Stainless Steel,Round,11.6mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tradition/9578-stc-00300.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,42mm ,Stainless Steel & Plated Rose Gold,Round,,Tang Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-42mm/01_733_7594_4331-07_5_20_12.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,42mm ,Stainless Steel & Plated Rose Gold,Round,,Deployant Clasp,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-42mm/01_733_7594_4334-07_5_20_11.html
Alligator/Crocodile Leather,,,,,Solid,36mm ,Stainless Steel,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,20mm,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-36mm/L4.755.4.11.2.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,37mm ,Stainless Steel & Plated Rose Gold,Round,,Tang Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4331-07_5_18_10.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,37mm ,Stainless Steel & Plated Rose Gold,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4334-07_5_18_11.html
Stainless Steel,,,Fixed,,Solid,36mm ,Stainless Steel,Round,,Push Button Folding Clasp,,,Brushed & Polished,Chronograph,New/Unworn,Scratch Resistant Sapphire,Silver,,17mm,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-Chrono-36mm-L3-379-4-76-6.html
Stainless Steel,,,Fixed,,Solid,36mm ,Stainless Steel,Round,,Push Button Folding Clasp,,,Brushed & Polished,Chronograph,New/Unworn,Scratch Resistant Sapphire,Blue,,17mm,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-Chrono-36mm-L33794966.html
Stainless Steel,,,Fixed,,Solid,36mm ,Stainless Steel,Round,,Push Button Folding Clasp,,,Brushed & Polished,Chronograph,New/Unworn,Scratch Resistant Sapphire,Black,,17mm,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-Chrono-36mm-L33794566.html
Stainless Steel,,,Fixed,,Solid,41mm ,Stainless Steel,Round,11.5mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/Conquest-Automatic-41mm/L3.677.4.76.6.html
Stainless Steel,,,Fixed,,Solid,41mm ,Stainless Steel,Round,11.5mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/Conquest-Automatic-41mm/L3.677.4.58.6.html
Fabric,,,Fixed,,Transparent,42mm ,DLC Coated Stainless Steel,Round,11.10mm,Tang Buckle,,,Black,Day/Date,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,22mm,Automatic,Yes,100m/330ft,https://www.prestigetime.com/Oris-BC3-Advanced-Day-Date-01-735-7641-4733-07-5-22-24B.html
Rubber,,,Fixed,,Transparent,42mm ,DLC Coated Stainless Steel,Round,11.10mm,Tang Buckle,,,Black,Day/Date,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,22mm,Automatic,Yes,100m/330ft,https://www.prestigetime.com/Oris-BC3-Advanced-Day-Date-01-735-7641-4733-07-4-22-05B.html
Stainless Steel,,,Fixed,,,38mm ,Stainless Steel,Round,,Tang Buckle,,,Brushed & Polished,Day/Date,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Grey,,,Quartz,No,30m,https://www.prestigetime.com/item/Maurice-Lacroix/Les-Classiques-Quartz-Day-Date/lc1227-ss002-330.html
Calfskin Leather,,Alligator/Crocodile Print,Fixed,,Transparent,39.5mm ,Stainless Steel,Round,10mm,Push Button Deployant Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,50m/165ft,https://www.prestigetime.com/Raymond-Weil-Maestro-2238-stc-00659.html
Rubber,,,Fixed,,Transparent,42mm ,Stainless Steel,Round,11.10mm,Tang Buckle,,,Black,Day/Date,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,22mm,Automatic,Yes,100m/330ft,https://www.prestigetime.com/Oris-BC3-Advanced-Day-Date-42mm-01-735-7641-4161-07-4-22-05.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,37mm ,Gold Plated,Round,,Tang Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4831-07_6_18_10.html
