brand,image_name,image_url,model_name,model_num,price,url
Breitling,BreitlingColtChronographa7338811g7901or,https://www.prestigetime.com/images/watches/a7338811g790-1or_main.jpg,Colt Chronograph,a7338811/g790-1or,3700.0,https://www.prestigetime.com/item/Breitling/Colt-Chronograph/a7338811%7Eg790-1or.html
Breitling,BreitlingSuperoceanII42a17365d1c915151s,https://www.prestigetime.com/images/watches/a17365d1-c915-151s_main.jpg,Superocean II 42,a17365d1/c915/151s,3700.0,https://www.prestigetime.com/item/Breitling/Superocean-II-42/a17365d1%7Ec915%7E151s.html
Breitling,BreitlingSuperoceanII42a17365d1c915136s,https://www.prestigetime.com/images/watches/a17365d1-c915-136s_main.jpg,Superocean II 42,a17365d1/c915/136s,3700.0,https://www.prestigetime.com/item/Breitling/Superocean-II-42/a17365d1%7Ec915%7E136s.html
Breitling,BreitlingSuperoceanII42a17365d1c915202s,https://www.prestigetime.com/images/watches/a17365d1-c915-202s_main.jpg,Superocean II 42,a17365d1/c915/202s,3700.0,https://www.prestigetime.com/item/Breitling/Superocean-II-42/a17365d1%7Ec915%7E202s.html
Breitling,BreitlingSuperoceanII42a17365d1c915149s,https://www.prestigetime.com/images/watches/a17365d1-c915-149s_main.jpg,Superocean II 42,a17365d1/c915/149s,3700.0,https://www.prestigetime.com/item/Breitling/Superocean-II-42/a17365d1%7Ec915%7E149s.html
Breitling,BreitlingSuperoceanII42a17365d1c915142s,https://www.prestigetime.com/images/watches/a17365d1-c915-142s_main.jpg,Superocean II 42,a17365d1/c915/142s,3700.0,https://www.prestigetime.com/item/Breitling/Superocean-II-42/a17365d1%7Ec915%7E142s.html
Breitling,BreitlingSuperoceanII42a17365d1c915203s,https://www.prestigetime.com/images/watches/a17365d1-c915-203s_main.jpg,Superocean II 42,a17365d1/c915/203s,3700.0,https://www.prestigetime.com/item/Breitling/Superocean-II-42/a17365d1%7Ec915%7E203s.html
Breitling,BreitlingSuperoceanII42a17365c9bd67151s,https://www.prestigetime.com/images/watches/a17365c9-bd67-151s_main.jpg,Superocean II 42,a17365c9/bd67/151s,3700.0,https://www.prestigetime.com/item/Breitling/Superocean-II-42/a17365c9%7Ebd67%7E151s.html
Breitling,BreitlingSuperoceanII42a17365c9bd67136s,https://www.prestigetime.com/images/watches/a17365c9-bd67-136s_main.jpg,Superocean II 42,a17365c9/bd67/136s,3700.0,https://www.prestigetime.com/item/Breitling/Superocean-II-42/a17365c9%7Ebd67%7E136s.html
Breitling,BreitlingSuperoceanII42a17365c9bd67202s,https://www.prestigetime.com/images/watches/a17365c9-bd67-202s_main.jpg,Superocean II 42,a17365c9/bd67/202s,3700.0,https://www.prestigetime.com/item/Breitling/Superocean-II-42/a17365c9%7Ebd67%7E202s.html
Nomos Glashutte,NomosGlashutteOrionNeomatik36mm393,https://www.prestigetime.com/images/watches/Nomos-Glashutte-Orion-Neomatik-36mm-393-Champagner_main.jpg,Orion Neomatik 36mm,393,3700.0,https://www.prestigetime.com/Nomos-Glashutte-Orion-Neomatik-36mm-393-Champagner.html
Breitling,BreitlingAerospaceEvoe7936310bc271ld,https://www.prestigetime.com/images/watches/e7936310bc27-1ld_main.jpg,Aerospace Evo,e7936310/bc27-1ld,3710.0,https://www.prestigetime.com/item/Breitling/Aerospace-Evo/e7936310%7Ebc27-1ld.html
Breitling,BreitlingAerospaceEvoe7936310f5621ld,https://www.prestigetime.com/images/watches/e7936310f562-1ld_main.jpg,Aerospace Evo,e7936310/f562-1ld,3710.0,https://www.prestigetime.com/item/Breitling/Aerospace-Evo/e7936310%7Ef562-1ld.html
Breitling,BreitlingAerospaceEvoe7936310c8693ld,https://www.prestigetime.com/images/watches/e7936310c869-3ld_main.jpg,Aerospace Evo,e7936310/c869-3ld,3710.0,https://www.prestigetime.com/item/Breitling/Aerospace-Evo/e7936310%7Ec869-3ld.html
Breitling,BreitlingAerospaceEvoe7936310bc272ld,https://www.prestigetime.com/images/watches/e7936310bc27-2ld_main.jpg,Aerospace Evo,e7936310/bc27-2ld,3710.0,https://www.prestigetime.com/item/Breitling/Aerospace-Evo/e7936310%7Ebc27-2ld.html
Breitling,BreitlingColtChronographa7338811c9053ld,https://www.prestigetime.com/images/watches/a7338811c905-3lt_main.jpg,Colt Chronograph,a7338811/c905-3ld,3715.0,https://www.prestigetime.com/item/Breitling/Colt-Chronograph/a7338811%7Ec905-3ld.html
Breitling,BreitlingColtChronographa7338811c9051ld,https://www.prestigetime.com/images/watches/a7338811c905-1lt_main.jpg,Colt Chronograph,a7338811/c905-1ld,3715.0,https://www.prestigetime.com/item/Breitling/Colt-Chronograph/a7338811%7Ec905-1ld.html
Breitling,BreitlingColtChronographa7338811c9052ld,https://www.prestigetime.com/images/watches/a7338811c905-2lt_main.jpg,Colt Chronograph,a7338811/c905-2ld,3715.0,https://www.prestigetime.com/item/Breitling/Colt-Chronograph/a7338811%7Ec905-2ld.html
Breitling,BreitlingColtChronographa7338811g7902ld,https://www.prestigetime.com/images/watches/a7338811g790-2lt_main.jpg,Colt Chronograph,a7338811/g790-2ld,3715.0,https://www.prestigetime.com/item/Breitling/Colt-Chronograph/a7338811%7Eg790-2ld.html
Breitling,BreitlingColtChronographa7338811g7901ld,https://www.prestigetime.com/images/watches/a7338811g790-1lt_main.jpg,Colt Chronograph,a7338811/g790-1ld,3715.0,https://www.prestigetime.com/item/Breitling/Colt-Chronograph/a7338811%7Eg790-1ld.html
Breitling,BreitlingColtChronographa7338811g7903ld,https://www.prestigetime.com/images/watches/a7338811g790-3lt_main.jpg,Colt Chronograph,a7338811/g790-3ld,3715.0,https://www.prestigetime.com/item/Breitling/Colt-Chronograph/a7338811%7Eg790-3ld.html
Breitling,BreitlingColtChronographa7338811bd431ld,https://www.prestigetime.com/images/watches/a7338811bd43-1lt_main.jpg,Colt Chronograph,a7338811/bd43-1ld,3715.0,https://www.prestigetime.com/item/Breitling/Colt-Chronograph/a7338811%7Ebd43-1ld.html
Breitling,BreitlingColtChronographa7338811bd432ld,https://www.prestigetime.com/images/watches/a7338811bd43-2lt_main.jpg,Colt Chronograph,a7338811/bd43-2ld,3715.0,https://www.prestigetime.com/item/Breitling/Colt-Chronograph/a7338811%7Ebd43-2ld.html
Breitling,BreitlingSuperoceanII44a17392d7bd68226x,https://www.prestigetime.com/images/watches/a17392d7-bd68-226x_main.jpg,Superocean II 44,a17392d7/bd68/226x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-44/a17392d7%7Ebd68%7E226x.html
Breitling,BreitlingSuperoceanII44a17392d7bd68228x,https://www.prestigetime.com/images/watches/a17392d7-bd68-228x_main.jpg,Superocean II 44,a17392d7/bd68/228x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-44/a17392d7%7Ebd68%7E228x.html
Breitling,BreitlingSuperoceanII44a17392d7bd68435x,https://www.prestigetime.com/images/watches/a17392d7-bd68-435x_main.jpg,Superocean II 44,a17392d7/bd68/435x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-44/a17392d7%7Ebd68%7E435x.html
Breitling,BreitlingSuperoceanII44a17392d7bd68437x,https://www.prestigetime.com/images/watches/a17392d7-bd68-437x_main.jpg,Superocean II 44,a17392d7/bd68/437x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-44/a17392d7%7Ebd68%7E437x.html
Breitling,BreitlingSuperoceanII44a17392d8c910226x,https://www.prestigetime.com/images/watches/a17392d8-c910-226x_main.jpg,Superocean II 44,a17392d8/c910/226x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-44/a17392d8%7Ec910%7E226x.html
Breitling,BreitlingSuperoceanII44a17392d8c910435x,https://www.prestigetime.com/images/watches/a17392d8-c910-435x_main.jpg,Superocean II 44,a17392d8/c910/435x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-44/a17392d8%7Ec910%7E435x.html
Breitling,BreitlingSuperoceanII44a17392d8c910105x,https://www.prestigetime.com/images/watches/a17392d8-c910-105x_main.jpg,Superocean II 44,a17392d8/c910/105x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-44/a17392d8%7Ec910%7E105x.html
Breitling,BreitlingSuperoceanII42a17365d1c915115x,https://www.prestigetime.com/images/watches/a17365d1-c915-115x_main.jpg,Superocean II 42,a17365d1/c915/115x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-42/a17365d1%7Ec915%7E115x.html
Breitling,BreitlingSuperoceanII42a17365c9bd67429x,https://www.prestigetime.com/images/watches/a17365c9-bd67-428x_main.jpg,Superocean II 42,a17365c9/bd67/429x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-42/a17365c9%7Ebd67%7E429x.html
Breitling,BreitlingSuperoceanII42a17365c9bd67432x,https://www.prestigetime.com/images/watches/a17365c9-bd67-431x_main.jpg,Superocean II 42,a17365c9/bd67/432x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-42/a17365c9%7Ebd67%7E432x.html
Breitling,BreitlingColtAutomatic41mma1731311be90729p,https://www.prestigetime.com/images/watches/a1731311-be90-729p_main.jpg,Colt Automatic 41mm,a1731311/be90/729p,3715.0,https://www.prestigetime.com/Breitling-Colt-Automatic-41mm-a1731311-be90-729p.html
Breitling,BreitlingColtAutomatic41mma1731311be90725p,https://www.prestigetime.com/images/watches/a1731311-be90-725p_main.jpg,Colt Automatic 41mm,a1731311/be90/725p,3715.0,https://www.prestigetime.com/Breitling-Colt-Automatic-41mm-a1731311-be90-725p.html
Breitling,BreitlingSuperoceanII36a17312c9bd91249x,https://www.prestigetime.com/images/watches/a17312c9-bd91-213x_main.jpg,Superocean II 36,a17312c9/bd91/249x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312c9%7Ebd91%7E249x.html
Breitling,BreitlingSuperoceanII36a17312c9bd91415x,https://www.prestigetime.com/images/watches/a17312c9-bd91-414x_main.jpg,Superocean II 36,a17312c9/bd91/415x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312c9%7Ebd91%7E415x.html
Breitling,BreitlingSuperoceanII36a17312c9bd91417x,https://www.prestigetime.com/images/watches/a17312c9-bd91-416x_main.jpg,Superocean II 36,a17312c9/bd91/417x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312c9%7Ebd91%7E417x.html
Breitling,BreitlingSuperoceanII36a17312d2a775249x,https://www.prestigetime.com/images/watches/a17312d2-a775-249x_main.jpg,Superocean II 36,a17312d2/a775/249x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312d2%7Ea775%7E249x.html
Breitling,BreitlingSuperoceanII36a17312d2a775415x,https://www.prestigetime.com/images/watches/a17312d2-a775-415x_main.jpg,Superocean II 36,a17312d2/a775/415x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312d2%7Ea775%7E415x.html
Breitling,BreitlingSuperoceanII36a17312d2a775256x,https://www.prestigetime.com/images/watches/a17312d2-a775-256x_main.jpg,Superocean II 36,a17312d2/a775/256x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312d2%7Ea775%7E256x.html
Breitling,BreitlingSuperoceanII36a17312d2a775199x,https://www.prestigetime.com/images/watches/a17312d2-a775-199x_main.jpg,Superocean II 36,a17312d2/a775/199x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312d2%7Ea775%7E199x.html
Breitling,BreitlingSuperoceanII36a17312d2a775247x,https://www.prestigetime.com/images/watches/a17312d2-a775-216x_main.jpg,Superocean II 36,a17312d2/a775/247x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312d2%7Ea775%7E247x.html
Breitling,BreitlingSuperoceanII36a17312d2a775417x,https://www.prestigetime.com/images/watches/a17312d2-a775-416x_main.jpg,Superocean II 36,a17312d2/a775/417x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312d2%7Ea775%7E417x.html
Breitling,BreitlingSuperoceanII36a17312d2a775268x,https://www.prestigetime.com/images/watches/a17312d2-a775-242x_main.jpg,Superocean II 36,a17312d2/a775/268x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312d2%7Ea775%7E268x.html
Breitling,BreitlingSuperoceanII36a17312d2a775413x,https://www.prestigetime.com/images/watches/a17312d2-a775-412x_main.jpg,Superocean II 36,a17312d2/a775/413x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312d2%7Ea775%7E413x.html
Breitling,BreitlingSuperoceanII36a17312d2a775257x,https://www.prestigetime.com/images/watches/a17312d2-a775-217x_main.jpg,Superocean II 36,a17312d2/a775/257x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312d2%7Ea775%7E257x.html
Breitling,BreitlingSuperoceanII36a17312d2a775265x,https://www.prestigetime.com/images/watches/a17312d2-a775-239x_main.jpg,Superocean II 36,a17312d2/a775/265x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312d2%7Ea775%7E265x.html
Breitling,BreitlingSuperoceanII36a17312d2a775251x,https://www.prestigetime.com/images/watches/a17312d2-a775-214x_main.jpg,Superocean II 36,a17312d2/a775/251x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312d2%7Ea775%7E251x.html
Breitling,BreitlingSuperoceanII36a17312d2a775262x,https://www.prestigetime.com/images/watches/a17312d2-a775-236x_main.jpg,Superocean II 36,a17312d2/a775/262x,3715.0,https://www.prestigetime.com/item/Breitling/Superocean-II-36/a17312d2%7Ea775%7E262x.html
Oris,OrisArtelierComplication01582768963510782177,https://www.prestigetime.com/images/watches/01 582 7689 6351-07 8 21 77_main.jpg,Artelier Complication,01 582 7689 6351-07 8 21 77,4250.0,https://www.prestigetime.com/item/Oris/Artelier-Complication/01_582_7689_6351-07_8_21_77.html
Cartier,CartierRondeSoloAutomatic42mmwsrn0022,https://www.prestigetime.com/images/watches/wsrn0022_main.jpg,Ronde Solo Automatic 42mm,wsrn0022,3500.0,https://www.prestigetime.com/item/Cartier/Ronde-Solo-Automatic-42mm/wsrn0022.html
Longines,LonginesConquestClassicChronographMoonphase42mml27985523,https://www.prestigetime.com/images/watches/L27985523_main.jpg,Conquest Classic Chronograph Moonphase 42mm,l2.798.5.52.3,4200.0,https://www.prestigetime.com/item/Longines/Conquest-Classic-Chronograph-Moonphase-42mm/l2.798.5.52.3.html
Longines,LonginesWeemsSecondSettingL27134110,https://www.prestigetime.com/images/watches/L2.713.4.11.0-new_main.jpg,Weems Second Setting,L2.713.4.11.0,4450.0,https://www.prestigetime.com/item/Longines/Weems-Second-Setting/L2.713.4.11.0.html
Perrelet,PerreletTurbine50mma10513,https://www.prestigetime.com/images/watches/a1051_3-_main.jpg,Turbine 50mm,a1051/3,6800.0,https://www.prestigetime.com/item/Perrelet/Turbine-50mm/a1051%7E3.html
Longines,LonginesConquestClassicAutomaticChronograph41mmL27865763,https://www.prestigetime.com/images/watches/L2.786.5.76.3_main.jpg,Conquest Classic Automatic Chronograph 41mm,L2.786.5.76.3,4000.0,https://www.prestigetime.com/item/Longines/Conquest-Classic-Automatic-Chronograph-41mm/L2.786.5.76.3.html
