Band Material,Band Name,Band Notes,Bezel,COSC Certified,Case Back,Case Dimensions,Case Material,Case Shape,Case Thickness,Clasp,Clasp Features,Clasp Notes,Color/Finish,Complications,Condition,Crystal,Dial Color,Edition,Lug Width,Movement,Screw-in Crown,Water Resistance,url
Stainless Steel,,,Fixed,,Solid,34mm ,Stainless Steel,Round,7.8mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/PrimaLuna-Quartz-34mm/L8.114.4.16.6.html
Stainless Steel & Plated Yellow Gold,,,Fixed,,Solid,34mm ,Stainless Steel & Plated Yellow Gold,Round,7mm,Push Button Folding Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Mother of Pearl,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-34mm/5388-stp-97081.html
Stainless Steel & Plated Rose Gold,,,Fixed,,Solid,34mm ,Stainless Steel & Plated Rose Gold,Round,7mm,Push Button Folding Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Mother of Pearl,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-34mm/5388-sp5-97081.html
Stainless Steel,,,,,Solid,24mm ,Stainless Steel,Round,5mm,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-24mm/L4.209.4.11.6.html
Alligator/Crocodile Leather,,,,,Solid,33mm ,Stainless Steel,Round,5mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.4.11.2.html
Stainless Steel,,,,,Solid,33mm ,Stainless Steel,Round,5mm,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.4.72.6.html
Calfskin Leather,,,Fixed,,Transparent,29mm ,Stainless Steel,Round,11.10mm,Tang Buckle,,,Black,,New/Unworn,Plexiglass,Silver,,14mm,Automatic,No,50m,https://www.prestigetime.com/item/Oris/Big-Crown-Original-Pointer-Date-29mm/01_594_7695_4061-07_5_14_53.html
Stainless Steel,,,Fixed,,Solid,22.4mm X 26.85mm ,Stainless Steel,Rectangle,,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/100ft.,https://www.prestigetime.com/item/Longines/DolceVita-Quartz-Ladies-Mid-Size/L5.502.4.16.6.html
Stainless Steel,,,Fixed,,Solid,32mm ,Stainless Steel,Round,8.2mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,Yes,100m/330ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Ladies/mi1014-ss002-150.html
Stainless Steel,,,Fixed,,Solid,32mm ,Stainless Steel,Round,8.2mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,100m/330ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Ladies/mi1014-ss002-350.html
Stainless Steel & Plated Yellow Gold,,,Fixed,,Solid,29mm ,Stainless Steel & Plated Yellow Gold,Round,6.79mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Mother of Pearl,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-29mm/5988-stp-97081.html
Calfskin Leather,,,,,Solid,30mm ,Stainless Steel,Round,,,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,14mm,Quartz,No,30m/99ft.,https://www.prestigetime.com/Longines-Equestrian-L6-131-4-73-2.html
Calfskin Leather,,,,,Solid,30mm ,Stainless Steel,Round,,,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,14mm,Quartz,No,30m/99ft.,https://www.prestigetime.com/Longines-Equestrian-L6-131-4-71-2.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,34mm ,Stainless Steel,Round,10.8mm,Folding Clasp With Safety Latch,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Quartz-34mm/L3.340.4.56.6.html
